"scenario","year","variable","value","units"
"ssp119",1950,"global_tas",0.14169007898925,"degC"
"ssp119",1951,"global_tas",0.141971235086338,"degC"
"ssp119",1952,"global_tas",0.143015701605577,"degC"
"ssp119",1953,"global_tas",0.144056101970216,"degC"
"ssp119",1954,"global_tas",0.146659977518665,"degC"
"ssp119",1955,"global_tas",0.146606581237109,"degC"
"ssp119",1956,"global_tas",0.143280843374795,"degC"
"ssp119",1957,"global_tas",0.138927079773095,"degC"
"ssp119",1958,"global_tas",0.13948378100625,"degC"
"ssp119",1959,"global_tas",0.140354858364983,"degC"
"ssp119",1960,"global_tas",0.141274872383357,"degC"
"ssp119",1961,"global_tas",0.133358764432029,"degC"
"ssp119",1962,"global_tas",0.113862917558728,"degC"
"ssp119",1963,"global_tas",0.0264642239682203,"degC"
"ssp119",1964,"global_tas",-0.0384572723559632,"degC"
"ssp119",1965,"global_tas",-0.0518491938112226,"degC"
"ssp119",1966,"global_tas",-0.0175535721018046,"degC"
"ssp119",1967,"global_tas",-0.00279836588477112,"degC"
"ssp119",1968,"global_tas",0.0118476528225936,"degC"
"ssp119",1969,"global_tas",0.0330836106840112,"degC"
"ssp119",1970,"global_tas",0.0489910323211714,"degC"
"ssp119",1971,"global_tas",0.0536904152651927,"degC"
"ssp119",1972,"global_tas",0.0632115759300204,"degC"
"ssp119",1973,"global_tas",0.0847023685777533,"degC"
"ssp119",1974,"global_tas",0.103526894637892,"degC"
"ssp119",1975,"global_tas",0.0950282841317034,"degC"
"ssp119",1976,"global_tas",0.107450586653995,"degC"
"ssp119",1977,"global_tas",0.133503092573779,"degC"
"ssp119",1978,"global_tas",0.161084834530973,"degC"
"ssp119",1979,"global_tas",0.185221047406382,"degC"
"ssp119",1980,"global_tas",0.204620620451464,"degC"
"ssp119",1981,"global_tas",0.223974188000704,"degC"
"ssp119",1982,"global_tas",0.220076589802525,"degC"
"ssp119",1983,"global_tas",0.174928860380986,"degC"
"ssp119",1984,"global_tas",0.180704945385173,"degC"
"ssp119",1985,"global_tas",0.218160326444616,"degC"
"ssp119",1986,"global_tas",0.255018178106922,"degC"
"ssp119",1987,"global_tas",0.290298130458301,"degC"
"ssp119",1988,"global_tas",0.327383711289095,"degC"
"ssp119",1989,"global_tas",0.365399275914752,"degC"
"ssp119",1990,"global_tas",0.399163768033057,"degC"
"ssp119",1991,"global_tas",0.370898675452368,"degC"
"ssp119",1992,"global_tas",0.23764092285918,"degC"
