"scenario","year","variable","value","units","source"
"ssp119",1750,"SV",0,"W/m2","new"
"ssp119",1751,"SV",0.185756746,"W/m2","new"
"ssp119",1752,"SV",0.185760472,"W/m2","new"
"ssp119",1753,"SV",0.185761717,"W/m2","new"
"ssp119",1754,"SV",0.185762136,"W/m2","new"
"ssp119",1755,"SV",0.16149051,"W/m2","new"
"ssp119",1756,"SV",-0.064139904,"W/m2","new"
"ssp119",1757,"SV",0.06548149,"W/m2","new"
"ssp119",1758,"SV",0.143706674,"W/m2","new"
"ssp119",1759,"SV",0.171560264,"W/m2","new"
"ssp119",1760,"SV",0.180988301,"W/m2","new"
"ssp119",1761,"SV",0.184158544,"W/m2","new"
"ssp119",1762,"SV",-0.719878886,"W/m2","new"
"ssp119",1763,"SV",-0.439960121,"W/m2","new"
"ssp119",1764,"SV",-0.039047325,"W/m2","new"
"ssp119",1765,"SV",0.109581666,"W/m2","new"
"ssp119",1766,"SV",-0.178487527,"W/m2","new"
"ssp119",1767,"SV",-0.230039677,"W/m2","new"
"ssp119",1768,"SV",0.029544124,"W/m2","new"
"ssp119",1769,"SV",0.132534616,"W/m2","new"
"ssp119",1770,"SV",0.036362348,"W/m2","new"
"ssp119",1771,"SV",0.088893036,"W/m2","new"
"ssp119",1772,"SV",0.151100522,"W/m2","new"
"ssp119",1773,"SV",0.174022557,"W/m2","new"
"ssp119",1774,"SV",0.181814436,"W/m2","new"
"ssp119",1775,"SV",0.184436008,"W/m2","new"
"ssp119",1776,"SV",0.185316816,"W/m2","new"
"ssp119",1777,"SV",0.185612686,"W/m2","new"
"ssp119",1778,"SV",0.185712075,"W/m2","new"
"ssp119",1779,"SV",0.185745465,"W/m2","new"
"ssp119",1780,"SV",0.185756681,"W/m2","new"
"ssp119",1781,"SV",0.185760451,"W/m2","new"
"ssp119",1782,"SV",0.185761713,"W/m2","new"
"ssp119",1783,"SV",-1.607111309,"W/m2","new"
"ssp119",1784,"SV",-3.487549643,"W/m2","new"
"ssp119",1785,"SV",-1.322721197,"W/m2","new"
"ssp119",1786,"SV",-0.487257524,"W/m2","new"
"ssp119",1787,"SV",-0.096137761,"W/m2","new"
"ssp119",1788,"SV",0.088531065,"W/m2","new"
"ssp119",1789,"SV",0.152985893,"W/m2","new"
"ssp119",1790,"SV",0.174747138,"W/m2","new"
"ssp119",1791,"SV",0.182061991,"W/m2","new"
"ssp119",1792,"SV",0.184519353,"W/m2","new"
"ssp119",1793,"SV",0.185344816,"W/m2","new"
"ssp119",1794,"SV",0.1856221,"W/m2","new"
"ssp119",1795,"SV",0.185715243,"W/m2","new"
"ssp119",1796,"SV",0.056138903,"W/m2","new"
"ssp119",1797,"SV",-0.042794853,"W/m2","new"
"ssp119",1798,"SV",0.057545268,"W/m2","new"
"ssp119",1799,"SV",0.140354145,"W/m2","new"
"ssp119",1800,"SV",0.170402887,"W/m2","new"
"ssp119",1801,"SV",0.180598096,"W/m2","new"
"ssp119",1802,"SV",0.184027398,"W/m2","new"
"ssp119",1803,"SV",0.185179556,"W/m2","new"
"ssp119",1804,"SV",0.185566583,"W/m2","new"
"ssp119",1805,"SV",0.185696593,"W/m2","new"
"ssp119",1806,"SV",0.185740259,"W/m2","new"
"ssp119",1807,"SV",0.185754929,"W/m2","new"
"ssp119",1808,"SV",0.185759857,"W/m2","new"
"ssp119",1809,"SV",-3.365688134,"W/m2","new"
"ssp119",1810,"SV",-2.313830028,"W/m2","new"
"ssp119",1811,"SV",-0.712301621,"W/m2","new"
